iter	Passed	Remaining
0	186	186449
1	201	100608
2	215	71733
3	228	56954
4	237	47255
5	249	41365
6	261	37036
7	272	33758
8	280	30837
9	291	28896
10	301	27116
11	310	25602
12	321	24444
13	329	23230
14	338	22257
15	354	21797
16	366	21168
17	374	20454
18	387	19987
19	398	19543
20	407	18992
21	419	18654
22	434	18437
23	449	18287
24	462	18029
25	471	17659
26	482	17403
27	490	17022
28	508	17037
29	522	16880
30	538	16820
31	550	16658
32	564	16550
33	574	16331
34	585	16130
35	595	15951
36	602	15688
37	613	15536
38	620	15294
39	631	15158
40	642	15020
41	650	14828
42	660	14694
43	667	14503
44	678	14398
45	685	14214
46	692	14048
47	702	13924
48	709	13763
49	717	13641
50	725	13495
51	734	13382
52	741	13243
53	749	13134
54	756	12999
55	767	12940
56	776	12851
57	784	12749
58	792	12640
59	799	12531
60	807	12424
61	815	12331
62	822	12234
63	835	12222
64	849	12222
65	857	12132
66	869	12106
67	880	12073
68	889	12005
69	905	12026
70	938	12285
71	955	12317
72	971	12342
73	988	12367
74	1004	12385
75	1137	13832
76	1164	13962
77	1185	14009
78	1212	14130
79	1231	14164
80	1252	14207
81	1268	14203
82	1283	14181
83	1299	14170
84	1313	14138
85	1332	14163
86	1344	14104
87	1353	14023
88	1367	13992
89	1379	13943
90	1389	13878
91	1401	13832
92	1414	13793
93	1426	13752
94	1435	13678
95	1446	13617
96	1454	13544
97	1462	13460
98	1471	13394
99	1479	13312
100	1491	13275
101	1500	13212
102	1510	13157
103	1517	13077
104	1526	13012
105	1534	12941
106	1543	12877
107	1550	12803
108	1558	12741
109	1565	12669
110	1574	12614
111	1582	12545
112	1591	12490
113	1598	12423
114	1608	12379
115	1615	12311
116	1624	12261
117	1631	12197
118	1640	12146
119	1647	12083
120	1656	12034
121	1663	11973
122	1672	11925
123	1679	11868
124	1689	11828
125	1701	11799
126	1708	11742
127	1717	11699
128	1725	11650
129	1734	11609
130	1742	11555
131	1751	11518
132	1760	11476
133	1769	11433
134	1776	11379
135	1785	11340
136	1792	11292
137	1801	11253
138	1808	11204
139	1818	11170
140	1825	11123
141	1836	11096
142	1844	11051
143	1852	11014
144	1859	10966
145	1872	10952
146	1880	10914
147	1890	10880
148	1901	10858
149	1910	10824
150	1923	10815
151	1935	10795
152	1943	10761
153	1956	10748
154	1968	10728
155	1976	10694
156	1988	10675
157	1997	10646
158	2006	10614
159	2017	10593
160	2026	10557
161	2039	10550
162	2050	10531
163	2059	10499
164	2073	10490
165	2085	10477
166	2099	10473
167	2107	10435
168	2118	10417
169	2126	10382
170	2136	10358
171	2146	10334
172	2154	10298
173	2164	10276
174	2172	10244
175	2183	10222
176	2190	10186
177	2200	10160
178	2207	10126
179	2219	10109
180	2229	10088
181	2238	10059
182	2247	10033
183	2254	9998
184	2263	9970
185	2270	9937
186	2281	9917
187	2288	9886
188	2299	9868
189	2307	9835
190	2315	9806
191	2322	9773
192	2332	9754
193	2341	9729
194	2351	9705
195	2361	9686
196	2369	9659
197	2380	9643
198	2387	9611
199	2398	9594
200	2409	9578
201	2418	9555
202	2429	9538
203	2436	9507
204	2449	9499
205	2459	9480
206	2468	9456
207	2478	9437
208	2485	9405
209	2503	9416
210	2512	9396
211	2520	9367
212	2528	9343
213	2535	9312
214	2544	9291
215	2551	9262
216	2560	9238
217	2567	9208
218	2575	9185
219	2583	9158
220	2592	9138
221	2599	9110
222	2607	9086
223	2614	9057
224	2623	9037
225	2631	9011
226	2639	8988
227	2646	8961
228	2655	8941
229	2663	8916
230	2672	8896
231	2679	8869
232	2687	8846
233	2696	8825
234	2705	8807
235	2714	8788
236	2725	8774
237	2736	8761
238	2746	8744
239	2757	8731
240	2765	8709
241	2780	8709
242	2793	8701
243	2806	8695
244	2816	8678
245	2829	8673
246	2841	8663
247	2853	8652
248	2863	8635
249	2877	8631
250	2888	8620
251	2899	8607
252	2911	8595
253	2924	8589
254	2937	8581
255	2953	8583
256	2964	8571
257	2976	8560
258	2988	8549
259	3002	8544
260	3019	8550
261	3030	8535
262	3040	8520
263	3051	8507
264	3061	8490
265	3071	8475
266	3080	8457
267	3090	8441
268	3101	8428
269	3110	8410
270	3120	8394
271	3129	8376
272	3139	8359
273	3150	8346
274	3160	8331
275	3170	8316
276	3179	8299
277	3189	8282
278	3199	8268
279	3208	8250
280	3218	8234
281	3227	8216
282	3236	8201
283	3246	8185
284	3255	8166
285	3266	8154
286	3275	8137
287	3286	8123
288	3296	8109
289	3305	8091
290	3315	8077
291	3324	8060
292	3334	8045
293	3342	8027
294	3356	8021
295	3372	8019
296	3386	8016
297	3405	8021
298	3423	8026
299	3438	8024
300	3453	8021
301	3473	8028
302	3488	8024
303	3504	8023
304	3516	8014
305	3530	8008
306	3543	7998
307	3555	7989
308	3571	7987
309	3586	7983
310	3601	7978
311	3615	7972
312	3630	7967
313	3644	7961
314	3655	7950
315	3670	7944
316	3682	7934
317	3694	7923
318	3703	7906
319	3717	7899
320	3730	7890
321	3745	7886
322	3758	7877
323	3779	7884
324	3789	7871
325	3802	7861
326	3816	7854
327	3828	7844
328	3840	7831
329	3851	7819
330	3862	7806
331	3873	7794
332	3883	7778
333	3893	7764
334	3903	7748
335	3916	7740
336	3929	7730
337	3941	7720
338	3955	7712
339	3964	7696
340	3975	7683
341	3984	7666
342	3995	7652
343	4005	7638
344	4014	7622
345	4024	7607
346	4034	7591
347	4044	7577
348	4054	7563
349	4063	7546
350	4074	7533
351	4082	7516
352	4093	7502
353	4103	7488
354	4112	7472
355	4122	7458
356	4131	7441
357	4141	7426
358	4150	7410
359	4160	7395
360	4172	7386
361	4182	7371
362	4193	7359
363	4204	7345
364	4212	7329
365	4223	7315
366	4232	7299
367	4241	7285
368	4251	7271
369	4261	7255
370	4271	7241
371	4280	7225
372	4293	7217
373	4305	7206
374	4316	7194
375	4329	7185
376	4344	7179
377	4360	7175
378	4378	7174
379	4393	7168
380	4406	7159
381	4419	7149
382	4430	7137
383	4443	7127
384	4458	7121
385	4473	7115
386	4487	7108
387	4503	7102
388	4515	7092
389	4526	7080
390	4539	7071
391	4552	7060
392	4565	7052
393	4578	7041
394	4592	7033
395	4605	7023
396	4617	7013
397	4635	7012
398	4644	6995
399	4655	6982
400	4666	6970
401	4675	6954
402	4685	6941
403	4696	6927
404	4704	6911
405	4716	6900
406	4725	6884
407	4735	6870
408	4744	6855
409	4754	6841
410	4764	6827
411	4774	6813
412	4784	6800
413	4795	6787
414	4804	6772
415	4816	6761
416	4825	6746
417	4836	6734
418	4847	6722
419	4856	6706
420	4866	6693
421	4875	6677
422	4885	6664
423	4896	6651
424	4905	6636
425	4916	6625
426	4926	6611
427	4935	6596
428	4946	6583
429	4955	6568
430	4965	6554
431	4973	6539
432	4983	6525
433	4993	6512
434	5002	6496
435	5012	6484
436	5021	6469
437	5035	6461
438	5045	6448
439	5054	6433
440	5064	6420
441	5075	6407
442	5084	6392
443	5094	6379
444	5103	6365
445	5114	6353
446	5125	6340
447	5135	6327
448	5145	6313
449	5154	6299
450	5164	6286
451	5175	6274
452	5184	6260
453	5194	6246
454	5202	6232
455	5212	6218
456	5222	6205
457	5232	6192
458	5243	6179
459	5252	6165
460	5262	6152
461	5272	6140
462	5281	6125
463	5292	6113
464	5301	6099
465	5311	6086
466	5319	6071
467	5330	6058
468	5343	6049
469	5352	6035
470	5362	6022
471	5373	6010
472	5382	5996
473	5392	5983
474	5401	5969
475	5411	5957
476	5421	5944
477	5431	5931
478	5447	5924
479	5457	5912
480	5466	5898
481	5476	5885
482	5486	5873
483	5495	5859
484	5505	5846
485	5515	5832
486	5525	5819
487	5534	5806
488	5544	5793
489	5555	5782
490	5565	5769
491	5576	5757
492	5586	5745
493	5595	5731
494	5606	5719
495	5615	5706
496	5625	5693
497	5636	5681
498	5645	5668
499	5656	5656
500	5665	5642
501	5675	5629
502	5685	5617
503	5694	5603
504	5703	5591
505	5713	5577
506	5723	5565
507	5732	5551
508	5741	5538
509	5751	5526
510	5762	5514
511	5773	5503
512	5784	5491
513	5793	5478
514	5803	5465
515	5812	5452
516	5822	5439
517	5833	5427
518	5845	5417
519	5856	5405
520	5867	5394
521	5876	5381
522	5886	5368
523	5895	5355
524	5905	5343
525	5916	5331
526	5925	5318
527	5935	5306
528	5944	5292
529	5954	5280
530	5966	5270
531	5982	5262
532	5994	5252
533	6007	5242
534	6020	5232
535	6034	5224
536	6044	5211
537	6053	5198
538	6064	5186
539	6072	5173
540	6085	5162
541	6093	5149
542	6103	5136
543	6114	5125
544	6123	5112
545	6133	5099
546	6142	5086
547	6152	5074
548	6162	5062
549	6171	5049
550	6182	5037
551	6191	5024
552	6202	5013
553	6212	5001
554	6221	4988
555	6231	4976
556	6240	4962
557	6249	4950
558	6258	4937
559	6268	4925
560	6278	4913
561	6297	4907
562	6309	4897
563	6317	4883
564	6327	4871
565	6335	4858
566	6345	4846
567	6354	4833
568	6364	4821
569	6373	4807
570	6383	4795
571	6392	4783
572	6402	4770
573	6413	4759
574	6422	4746
575	6434	4736
576	6446	4726
577	6455	4713
578	6465	4701
579	6476	4689
580	6483	4675
581	6492	4662
582	6499	4649
583	6508	4636
584	6516	4622
585	6525	4609
586	6532	4596
587	6541	4583
588	6548	4569
589	6557	4556
590	6563	4542
591	6571	4528
592	6578	4515
593	6586	4501
594	6596	4489
595	6608	4479
596	6616	4466
597	6628	4455
598	6637	4443
599	6648	4432
600	6660	4421
601	6673	4412
602	6690	4404
603	6701	4393
604	6715	4384
605	6728	4374
606	6741	4364
607	6751	4353
608	6765	4343
609	6776	4332
610	6788	4321
611	6798	4309
612	6809	4299
613	6824	4290
614	6836	4279
615	6846	4267
616	6856	4256
617	6865	4244
618	6876	4232
619	6887	4221
620	6897	4209
621	6908	4198
622	6920	4187
623	6930	4176
624	6941	4164
625	6952	4153
626	6961	4141
627	6974	4131
628	6987	4121
629	6998	4110
630	7010	4099
631	7023	4089
632	7033	4078
633	7045	4067
634	7057	4056
635	7069	4045
636	7077	4033
637	7089	4022
638	7102	4012
639	7111	4000
640	7124	3989
641	7135	3979
642	7145	3967
643	7156	3955
644	7167	3944
645	7175	3932
646	7185	3920
647	7194	3908
648	7204	3896
649	7213	3884
650	7223	3872
651	7289	3890
652	7318	3889
653	7357	3892
654	7407	3901
655	7425	3893
656	7439	3884
657	7456	3875
658	7470	3865
659	7485	3856
660	7499	3846
661	7511	3835
662	7527	3826
663	7552	3821
664	7568	3812
665	7581	3801
666	7592	3790
667	7607	3780
